"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MV4_11_WT_1","MV4_11_WT_2","MV4_11_WT_3","MV4_11_2w_1","MV4_11_2w_2","MV4_11_2w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"N-Acetylaspartic acid","Com_9_neg","N-Acetylaspartic acid","C6 H9 N O5",175.0479,1.89,174.04062,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Aspartic acid and derivatives",11883672812,12687151333,8366755320.99999,11334616532,9463388801.99999,9212401732.00001,33.2135521549085,33.3309773205228,-0.117425165614293,0.548399096968247,0.52994540955656,"stable",0.492124083393122
"Salicylic acid","Com_10_neg","Salicylic acid","C7 H6 O3",138.0316,6.055,137.02432,"Full match","Full match","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Salicylic acids",2951127761,2571811683,2056354052,4377392778.99999,2265955512,5742024814,31.8412698350387,31.2187328768003,0.622536958238385,0.324983843809281,0.476060024749884,"stable",1.07211499392155
"4-Oxoproline","Com_15_neg","4-Oxoproline","C5 H7 N O3",129.04251,2.175,128.03523,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Proline and derivatives",4826921677,4639970494.99999,3201624299,3858308682,5012629572.00001,4368128103,32.0308699743002,31.9520272108897,0.07884276341046,0.757733851937539,0.594047451123469,"stable",0.323627544721175
"D-(+)-Malic acid","Com_16_neg","D-(+)-Malic acid","C4 H6 O5",134.02145,1.536,133.01417,"Full match","Full match","Full match","Organic acids and derivatives","Hydroxy acids and derivatives","Beta hydroxy acids and derivatives","Beta hydroxy acids and derivatives",4118075497,4203249197,2867878191,5014426299.99999,3803853732,4110891599,31.9950187717409,31.7751725272961,0.219846244444767,0.375103847429749,0.489484850499922,"stable",0.827925768369671
"Uridine monophosphate (UMP)","Com_22_neg","Uridine monophosphate (UMP)","C9 H13 N2 O9 P",324.03586,1.478,323.02858,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine ribonucleotides","Pyrimidine ribonucleoside monophosphates",1082793937,945168369.4,692736516.6,2062911738,1121996205,1624597604,30.5342969588586,29.7319463871862,0.802350571672381,0.109990222050881,0.364365510768136,"stable",1.42308354645238
"D-(-)-Fructose","Com_33_neg","D-(-)-Fructose","C6 H12 O6",180.06343,1.326,225.06168,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","C-glycosyl compounds",329058615.2,347675792.7,194434240,294712983.4,314315161.1,291625098.2,28.1606372156419,28.0672145978734,0.0934226177685531,0.74039260600719,0.58845239009346,"stable",0.310613220858145
"L-Threonic acid","Com_36_neg","L-Threonic acid","C4 H8 O5",136.03715,1.359,135.02987,"Full match","Full match","No results","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives",1144587975,1126903238,852415574.1,1192621297,1126323843,989661091.7,30.0342742420354,29.9429598058925,0.091314436142909,0.292011784187822,0.465276356709702,"stable",0.500473676086556
"Methylmalonic acid","Com_40_neg","Methylmalonic acid","C4 H6 O4",118.02656,2.606,117.01928,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Dicarboxylic acids and derivatives","Dicarboxylic acids and derivatives",1144169128,1135561164,726926548.6,1114137289,1004582877,925437253.9,29.9142630840821,29.8698819338335,0.04438115024859,0.804157124293841,0.608303205843086,"stable",0.174738333966524
"D-α-Hydroxyglutaric acid","Com_42_neg","D-α-Hydroxyglutaric acid","C5 H8 O5",148.03712,1.983,147.02984,"Full match","Full match","Full match","Organic acids and derivatives","Hydroxy acids and derivatives","Short-chain hydroxy acids and derivatives","Short-chain hydroxy acids and derivatives",438154545.999999,458469474.7,312008792.8,541742622.2,506310437.6,470702869.9,28.9129069177274,28.5653754908142,0.347531426913196,0.118373709727647,0.36526428689993,"stable",1.24557261509668
"DL-4-Hydroxyphenyllactic acid","Com_52_neg","DL-4-Hydroxyphenyllactic acid","C9 H10 O4",182.05795,5.233,181.05067,"Full match","Full match","Full match","Phenylpropanoids and polyketides","Phenylpropanoic acids","Not available","Phenylpropanoic acids",496676600,545219570.5,357703342,546656463.499999,409518416.2,428404255.8,28.7699366343311,28.7747273337885,-0.00479069945735588,0.983642827620721,0.655127156214613,"stable",0.0193271567353948
"2-Hydroxycaproic acid","Com_64_neg","2-Hydroxycaproic acid","C6 H12 O3",132.07863,5.736,131.07136,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",247341138.1,210907495.8,195213856.1,296057996.7,196980848.8,272865622.2,27.9061333719298,27.6914807720116,0.214652599918193,0.332687408617617,0.478333530353631,"stable",0.840643324698319
