"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MV4_11_WT_1","MV4_11_WT_2","MV4_11_WT_3","MV4_11_6w_1","MV4_11_6w_2","MV4_11_6w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"D-(+)-Proline","Com_6_pos","D-(+)-Proline","C5 H9 N O2",115.06348,1.451,116.07075,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Proline and derivatives",9189106801.00002,8422337131.99998,8090053411.99999,12270171440,8957640094,9338308301.99999,33.2318073282854,32.9941176834914,0.237689644794024,0.131652321880003,0.246422118495798,"stable",1.13871635360264
"L-Norleucine","Com_9_pos","L-Norleucine","C6 H13 N O2",131.09483,3.576,132.1021,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","L-alpha-amino acids",6698981290.00001,9601268750,8520452750.00002,9138085619.00002,6968928620.99999,7331786010,32.8530173597185,32.9300518130414,-0.0770344533228169,0.803561294497501,0.472432941445035,"stable",0.36017089316903
"Acetyl-L-carnitine","Com_20_pos","Acetyl-L-carnitine","C9 H17 N O4",203.11604,1.879,204.12332,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Acyl carnitines",1000579582,927612306.600001,862988200.299999,2955981560,1349267255,953733315,30.5398432623533,29.7906336946014,0.749209567751855,0.218241010465785,0.284780284839489,"stable",1.12934360974022
"DL-Carnitine","Com_22_pos","DL-Carnitine","C7 H15 N O3",161.10547,1.373,162.11274,"Full match","Full match","Full match","Organic nitrogen compounds","Organonitrogen compounds","Quaternary ammonium salts","Carnitines",1091591169,1039992204,933768112.6,2106236800,1237363811,670957927.7,30.1660967208622,29.9254000438861,0.240696676976089,0.617729344159023,0.407723768052657,"stable",0.448989507245272
"Choline","Com_31_pos","Choline","C5 H13 N O",103.0999,1.345,104.10718,"Full match","Full match","No results","Organic nitrogen compounds","Organonitrogen compounds","Quaternary ammonium salts","Cholines",1376177616,1359136811,1208469050,366479328,560980851.799999,714944742.600001,28.975263123022,30.2895321517693,-1.31426902874731,0.0585994612242351,0.22862116347083,"stable",1.69565242827163
"Betaine","Com_33_pos","Betaine","C5 H11 N O2",117.07919,1.364,118.08646,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids",1182231869,1094613504,1429084767,1407830912,1193996144,931468701.2,30.1129700022342,30.193028210547,-0.0800582083128027,0.795666374966178,0.469972760445525,"stable",0.350678421691702
"Valine","Com_34_pos","Valine","C5 H11 N O2",117.07911,1.811,118.08639,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Valine and derivatives",4102094401,3611858582,3413417103,3931248054,3779530313,4239006743,31.8896597270505,31.7841257923968,0.10553393465376,0.437807305214396,0.360156804462281,"stable",0.91940325657925
"Propionylcarnitine","Com_51_pos","Propionylcarnitine","C10 H19 N O4",217.13177,3.625,218.13904,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Acyl carnitines",323514469,509463501.3,478321083.1,439029968.6,444792543.5,158946481.8,28.2274224621931,28.6756875636106,-0.448265101417444,0.532541269741365,0.380657578225271,"stable",0.71795672419465
"N-Benzylformamide","Com_55_pos","N-Benzylformamide","C8 H9 N O",135.06867,2.666,136.07596,"Full match","Full match","No results","Benzenoids","Benzene and substituted derivatives","Not available","Benzene and substituted derivatives",1514754294,1463653019,1319030687,2437355960,1656414062,1878589975,30.8716963652088,30.4133980226082,0.458298342600617,0.0912751962930472,0.232258561221547,"stable",1.47226871571059
"L-Threonine","Com_103_pos","L-Threonine","C4 H9 N O3",119.05852,1.338,120.06578,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","L-alpha-amino acids",608356806.6,432271176.7,524851973.500001,677469718.200001,412456358.7,580085410.8,29.0223125177623,28.9450130782772,0.0772994394850919,0.398346172524934,0.350170013963007,"stable",0.277316219765416
