"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","OCI_M2_WT_1","OCI_M2_WT_2","OCI_M2_WT_3","OCI_M2_6w_1","OCI_M2_6w_2","OCI_M2_6w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"N-Acetylaspartic acid","Com_9_neg","N-Acetylaspartic acid","C6 H9 N O5",175.0479,1.89,174.04062,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Aspartic acid and derivatives",16895640325,14981547257,14393313381,13810963506,13812324522,12702093491,33.6448930825078,33.8410264156033,-0.196133333095474,0.0608674902613629,0.309065245834167,"stable",1.3501763199082
"Salicylic acid","Com_10_neg","Salicylic acid","C7 H6 O3",138.0316,6.055,137.02432,"Full match","Full match","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Salicylic acids",2262819851,2157207009,3115963513,1916008162,2179302290,1338953802,30.7250449262662,31.2063410869424,-0.481296160676159,0.328839718306378,0.457141640245569,"stable",1.16546482942796
"4-Oxoproline","Com_15_neg","4-Oxoproline","C5 H7 N O3",129.04251,2.175,128.03523,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Proline and derivatives",4812779705,3476373214,4332218764,3620205869,3709878429,3151924305,31.6985783673995,31.9572060070787,-0.258627639679244,0.280957596864566,0.437586875367506,"stable",1.11185581238426
"D-(+)-Malic acid","Com_16_neg","D-(+)-Malic acid","C4 H6 O5",134.02145,1.536,133.01417,"Full match","Full match","Full match","Organic acids and derivatives","Hydroxy acids and derivatives","Beta hydroxy acids and derivatives","Beta hydroxy acids and derivatives",2369379239,2984703520,2352739329,2195901598,2894944777,3195955769,31.3455517460882,31.2494989373652,0.0960528087230514,0.636308456913298,0.615192494047381,"stable",0.412568664511183
"Uridine monophosphate (UMP)","Com_22_neg","Uridine monophosphate (UMP)","C9 H13 N2 O9 P",324.03586,1.478,323.02858,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine ribonucleotides","Pyrimidine ribonucleoside monophosphates",1032876188,865204208.999999,1165818044,565578113,696479171.3,610069007.399999,29.2116844060515,29.9170603713912,-0.70537596533968,0.0699909602913177,0.310754165196884,"stable",1.60154823358767
"D-(-)-Fructose","Com_33_neg","D-(-)-Fructose","C6 H12 O6",180.06343,1.326,225.06168,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","C-glycosyl compounds",184553390.4,117388560.5,161311513.6,203924918.6,217768227.5,150381217.4,27.4885767395777,27.1771512526448,0.311425486932965,0.406407405353826,0.50521597817363,"stable",0.912061872171589
"L-Threonic acid","Com_36_neg","L-Threonic acid","C4 H8 O5",136.03715,1.359,135.02987,"Full match","Full match","No results","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives",1008328196,937292684.999999,697462699.6,720440343.600001,829344519.600001,972959072.699999,29.6365013027353,29.6969277834541,-0.0604264807188635,0.85154793207412,0.681476245897066,"stable",0.254210416913372
"Methylmalonic acid","Com_40_neg","Methylmalonic acid","C4 H6 O4",118.02656,2.606,117.01928,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Dicarboxylic acids and derivatives","Dicarboxylic acids and derivatives",890099420.4,1261052372,844427030.299999,921323162.7,962747101.2,1070259801,29.8723425257831,29.8715899377713,0.000752588011849298,0.997496065453079,0.714788718456638,"stable",0.00341088646951122
"D-α-Hydroxyglutaric acid","Com_42_neg","D-α-Hydroxyglutaric acid","C5 H8 O5",148.03712,1.983,147.02984,"Full match","Full match","Full match","Organic acids and derivatives","Hydroxy acids and derivatives","Short-chain hydroxy acids and derivatives","Short-chain hydroxy acids and derivatives",697167044.8,563003061.100001,519171972.9,831243235.099999,1243946238,1475157652,30.1003981473498,29.132377973664,0.968020173685769,0.121464752303559,0.340017099443393,"stable",1.5157424659514
"DL-4-Hydroxyphenyllactic acid","Com_52_neg","DL-4-Hydroxyphenyllactic acid","C9 H10 O4",182.05795,5.233,181.05067,"Full match","Full match","Full match","Phenylpropanoids and polyketides","Phenylpropanoic acids","Not available","Phenylpropanoic acids",202853833.7,238261170.3,167082768,190575147.9,300001990.9,380481154.1,28.0564771147392,27.5799405492541,0.476536565485091,0.332325572998635,0.458402445906743,"stable",1.02588576581378
"2-Hydroxycaproic acid","Com_64_neg","2-Hydroxycaproic acid","C6 H12 O3",132.07863,5.736,131.07136,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",211412557.4,183033108,192945696.3,209323569,147103105.6,164104947.2,27.3544851587486,27.542211616075,-0.187726457326427,0.171873646930017,0.369343800426222,"stable",0.874079511840728
"N-Acetyl-α-D-glucosamine 1-phosphate","Com_77_neg","N-Acetyl-α-D-glucosamine 1-phosphate","C8 H16 N O9 P",301.0574,1.569,300.04879,"Full match","Full match","Full match",NA,NA,NA,NA,79408461.23,64956875.2,24008911.52,88770158.62,23631891.87,70379564.5100001,25.6554854949764,25.5709449875338,0.0845405074425898,0.931437726559657,0.700617042236033,"stable",0.0927250031051408
"D-(-)-Mannitol","Com_101_neg","D-(-)-Mannitol","C6 H14 O6",182.07898,1.332,181.07184,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar alcohols",17316716.61,19455844.81,13773640.52,21531232.43,18319822.46,19552965.85,24.2359046238585,23.991589652581,0.244314971277515,0.296484156891599,0.44442416729155,"stable",1.05379822331668
"Uridine 5'-diphosphogalactose","Com_126_neg","Uridine 5'-diphosphogalactose","C15 H24 N2 O17 P2",566.05541,1.753,565.04813,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine nucleotide sugars","Pyrimidine nucleotide sugars",6097579035,5607685817,6304047898.99998,4133355285,4652323823.00001,4856271677.00001,32.079057530164,32.4813263776475,-0.402268847483505,0.0419810576627702,0.309065245834167,"down",1.6052793577934
"Suberic acid","Com_136_neg","Suberic acid","C8 H14 O4",174.08918,5.922,173.0819,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",23193989.08,26032699.43,16696024.42,233435434,17837865.52,17975326.51,25.3288008753865,24.3646901644986,0.964110710887844,0.505544905816957,0.559503040879291,"stable",0.628088412768801
"Υ-Aminobutyric acid (GABA)","Com_170_neg","Υ-Aminobutyric acid (GABA)","C4 H9 N O2",103.06328,1.355,102.05606,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Gamma amino acids and derivatives",353420627.5,290646013.6,317326941.7,307860310.1,278619426,258553930.2,28.0657704154461,28.2509645527851,-0.18519413733895,0.112690851232585,0.335652857241722,"stable",1.12726783197451
"Threonine","Com_177_neg","Threonine","C4 H9 N O3",119.05827,1.314,118.051,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","D-alpha-amino acids",107219084.9,102458349.7,104209616.4,111058278.7,90321343.9700001,89477094.5600001,26.5234401308764,26.6404539928989,-0.117013862022439,0.30078501105631,0.446228185400579,"stable",0.858759851626339
"N-Acetylalanine","Com_183_neg","N-Acetylalanine","C5 H9 N O3",131.05817,2.71,130.0509,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-L-alpha-amino acids",286810734,298221166.9,212166729.1,243059949.6,194581320.9,231830969.5,27.7270109987203,27.9693181311293,-0.242307132408968,0.376329745588709,0.485997235974693,"stable",0.962117701630857
"D(+)-Phenyllactic acid","Com_205_neg","D(+)-Phenyllactic acid","C9 H10 O3",166.06292,5.735,165.05564,"Full match","Full match","Full match","Phenylpropanoids and polyketides","Phenylpropanoic acids","Not available","Phenylpropanoic acids",122034292.1,112435097,123617369,113737413.4,102198098.2,128161255.4,26.7671032372637,26.8295115993005,-0.0624083620367593,0.395720011236636,0.49855387165846,"stable",0.503324062641533
"D-(-)-Ribose","Com_265_neg","D-(-)-Ribose","C5 H10 O5",150.05271,1.447,149.04542,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Pentoses",92007503.2799999,121685905.3,92006739.2699999,46146286.44,70433002,92232346.3,25.9960763066603,26.58969040592,-0.593614099259664,0.190536093562136,0.384045464974548,"stable",1.18613097605653
"α-D-Glucose-1,6-bisphosphate","Com_269_neg","α-D-Glucose-1,6-bisphosphate","C6 H14 O12 P2",339.99609,1.184,338.9888,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Hexose phosphates",8560145.68299999,10067786.87,9207453.925,6639473.801,6231588.694,10768591.4,22.8647107577418,23.1422726687084,-0.277561910966579,0.410196147427503,0.507535430740404,"stable",0.826142596356951
"4-Nitrophenol","Com_309_neg","4-Nitrophenol","C6 H5 N O3",139.0269,0.412,138.01962,"Full match","Full match","Full match","Benzenoids","Phenols","Nitrophenols","Nitrophenols",9529135.95,7923406.51600001,11302163.1,8090080.81,6135101.135,4258917.112,22.5061445333239,23.1772329812095,-0.67108844788557,0.21176501397447,0.399262381803088,"stable",1.28913583610406
"(2R)-2,3-Dihydroxypropanoic acid","Com_322_neg","(2R)-2,3-Dihydroxypropanoic acid","C3 H6 O4",106.02659,1.439,105.01931,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives",21526057.39,27315140.56,25471133.34,20821446.81,20182463.78,23576579.08,24.3563390054076,24.5550460333417,-0.198707027934059,0.240516683814193,0.416989424043943,"stable",1.09744245257454
"Ethylmalonic acid","Com_345_neg","Ethylmalonic acid","C5 H8 O4",132.04223,4.676,131.03495,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Branched fatty acids",66252829.71,63063923.1899999,62682495.5399999,67399802.5,57583709.1100001,59355772.67,25.869427807538,25.9311165359088,-0.0616887283707825,0.310359921185334,0.450113995657275,"stable",0.671253753063838
"Pimelic acid","Com_363_neg","Pimelic acid","C7 H12 O4",160.07359,5.496,159.06631,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",67030705.81,66258693.8900001,74939463.5599999,85842333.3099999,45740348.53,56501168.27,25.8513091135805,26.0463825109896,-0.195073397409146,0.556042522995912,0.582818228889347,"stable",0.587535026582093
"Guanosine monophosphate (GMP)","Com_367_neg","Guanosine monophosphate (GMP)","C10 H14 N5 O8 P",363.05809,1.845,362.05081,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine ribonucleotides","Purine ribonucleoside monophosphates",47653230.7800001,48514138.3699999,52894842.46,57631187.13,35647369.85,30813585.1,25.2482339707581,25.5648654433366,-0.316631472578489,0.41558605864573,0.510797887197307,"stable",0.866395797445954
"Terephthalic acid","Com_368_neg","Terephthalic acid","C8 H6 O4",166.02661,5.566,165.01934,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Dicarboxylic acids and derivatives","Dicarboxylic acids and derivatives",44945284.6300001,56820128.1400001,59467304.76,112672524.9,38073984.91,44682537.72,25.781023514906,25.66905284432,0.111970670586004,0.871041540947079,0.686368994061215,"stable",0.192809045178348
"Hippuric acid","Com_423_neg","Hippuric acid","C9 H9 N O3",179.0583,5.42,178.05102,"Full match","Full match","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hippuric acids",33364500.66,44401670.12,29375963.52,44767285.89,31938158.74,40880565.69,25.2098770498881,25.0680180067468,0.141859043141316,0.691208357249773,0.634587855002856,"stable",0.517265437901371
"N-Acetyl-D-alloisoleucine","Com_474_neg","N-Acetyl-D-alloisoleucine","C8 H15 N O3",173.10529,5.7,172.09801,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Isoleucine and derivatives",66340418.0999999,66582829.62,61909230.2300001,57699535.14,47586131.79,55618216.94,25.671716122391,25.9518942671173,-0.280178144726314,0.112932682112165,0.335780622672898,"stable",1.45962183055888
"O-Phosphorylethanolamine","Com_486_neg","O-Phosphorylethanolamine","C2 H8 N O4 P",141.01919,1.248,140.01191,"Full match","Full match","Full match","Organic acids and derivatives","Organic phosphoric acids and derivatives","Phosphate esters","Phosphoethanolamines",18213617.14,10002012.14,14429570.33,32588065.16,50582855.55,59472868.1900001,25.4585712761062,23.7182753528215,1.74029592328472,0.0629234079353157,0.309316835520174,"stable",1.61172386056113
"Fumaric acid","Com_511_neg","Fumaric acid","C4 H4 O4",116.01091,1.537,115.00364,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Dicarboxylic acids and derivatives","Dicarboxylic acids and derivatives",130628410.1,170550935.5,123524598.2,113359421.4,156572865.7,166153045.6,27.0955085093959,27.0622480028114,0.0332605065845755,0.882407810375528,0.689153084238795,"stable",0.129447807690794
"Thymidine 5'-monophosphate","Com_608_neg","Thymidine 5'-monophosphate","C10 H15 N2 O8 P",322.05634,2.317,321.04907,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine deoxyribonucleotides","Pyrimidine 2'-deoxyribonucleoside monophosphates",61970496.6000001,64943560.5299999,63084806.3299999,64558872.55,54206778.7,84295670.2500001,25.9883457275821,25.9161835284927,0.0721621990894086,0.748161970473358,0.652745198784748,"stable",0.331907636623323
"3-Methylglutaric acid","Com_616_neg","3-Methylglutaric acid","C6 H10 O4",146.05799,5.476,145.05071,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Methyl-branched fatty acids",18335452.9,20310049.61,19258666.76,63709278.98,13636791.88,18476414.4,24.5883941984665,24.2009424967003,0.387451701766185,0.644453925717742,0.618199236365997,"stable",0.477183404420267
"2-Anisic acid","Com_642_neg","2-Anisic acid","C8 H8 O3",152.04738,5.843,151.0401,"Full match","Full match","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","O-methoxybenzoic acids and derivatives",19972868.02,16756667.26,17286046.2,16931450.83,11910316.59,14397307.17,23.7660687850541,24.0976248889442,-0.33155610389009,0.0545967155991543,0.309065245834167,"stable",1.23274582166914
"N-Acetyl-L-phenylalanine","Com_648_neg","N-Acetyl-L-phenylalanine","C11 H13 N O3",207.08958,5.72,206.0823,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Phenylalanine and derivatives",14672297.78,17660282.38,16854559.35,12625729.31,11423035.21,13697404.15,23.5809017553847,23.9624107126242,-0.381508957239507,0.09370165706763,0.324278217316557,"stable",1.51046839868215
"Jasmonic acid","Com_681_neg","Jasmonic acid","C12 H18 O3",210.12561,6.285,209.11834,"Full match","Full match","No results","Lipids and lipid-like molecules","Fatty Acyls","Lineolic acids and derivatives","Jasmonic acids",18562196.56,16985330.85,20644447.3,16130892.28,15801168.46,14422022.42,23.8795403240588,24.1543001831876,-0.274759859128796,0.158300314870607,0.361181505401674,"stable",1.43390170380022
"Phosphocreatine","Com_700_neg","Phosphocreatine","C4 H10 N3 O5 P",211.03568,1.392,210.0284,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids and derivatives",231495742.7,118073818.1,117964123.4,131325732.7,90237584.8399999,60847589.96,26.4181654328604,27.138432397019,-0.720266964158608,0.0519201854082459,0.309065245834167,"stable",1.08210468691744
"Glucose 1-phosphate","Com_916_neg","Glucose 1-phosphate","C6 H13 O9 P",260.02968,1.216,259.02241,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Monosaccharide phosphates",8339244.727,7674043.997,6518194.244,8158973.365,6058409.755,8091913.66400001,22.8128378076173,22.8330272721665,-0.0201894645492047,0.92452331723854,0.699051828439782,"stable",0.100153829437489
"3-Hydroxybenzoic acid","Com_923_neg","3-Hydroxybenzoic acid","C7 H6 O3",138.03171,5.385,137.02443,"Full match","Full match","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hydroxybenzoic acid derivatives",35268433.95,31878836.43,32466002.27,43218386.78,28512514.7,30889869.16,25.0036214198732,24.9834654096894,0.020156010183797,0.897972169946058,0.692886246628306,"stable",0.0928250986756812
