"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","OCI_M2_WT_1","OCI_M2_WT_2","OCI_M2_WT_3","OCI_M2_6w_1","OCI_M2_6w_2","OCI_M2_6w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"D-(+)-Proline","Com_6_pos","D-(+)-Proline","C5 H9 N O2",115.06348,1.451,116.07075,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Proline and derivatives",9162425364.99999,7512488742.99999,7782244005.00001,7947998490.00001,7471704618.00001,7786081037.99999,32.8483283141298,32.9190884142686,-0.0707601001387985,0.402988864037817,0.312982914314597,"stable",0.592465809811843
"L-Norleucine","Com_9_pos","L-Norleucine","C6 H13 N O2",131.09483,3.576,132.1021,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","L-alpha-amino acids",6201761424,6866250910.00001,6026062495.99999,6581389455.00001,6145875831.00001,6467822516.99999,32.5744498227119,32.5651582676387,0.00929155507314761,0.922689601391119,0.471947753903404,"stable",0.118887108628934
"Acetyl-L-carnitine","Com_20_pos","Acetyl-L-carnitine","C9 H17 N O4",203.11604,1.879,204.12332,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Acyl carnitines",7212006505,7105552399.00002,7066743571.00001,7459625473.99999,7294382125,6768563058.99999,32.7389323757306,32.7308172103057,0.0081151654249183,0.839526985468821,0.448488115453033,"stable",0.15405436242352
"DL-Carnitine","Com_22_pos","DL-Carnitine","C7 H15 N O3",161.10547,1.373,162.11274,"Full match","Full match","Full match","Organic nitrogen compounds","Organonitrogen compounds","Quaternary ammonium salts","Carnitines",3112380713,3298378263,3290167882,2810638467,2038281385,2137694417,31.1021217725864,31.5899983883903,-0.487876615803884,0.104703634479759,0.211717638689407,"stable",1.41429236372169
"Choline","Com_31_pos","Choline","C5 H13 N O",103.0999,1.345,104.10718,"Full match","Full match","No results","Organic nitrogen compounds","Organonitrogen compounds","Quaternary ammonium salts","Cholines",853120697,590780697.4,666576702.299999,1710505480,2624040866,2429650717,31.0463401351081,29.372805908491,1.67353422661717,0.0399534611762672,0.187600898124028,"up",1.5842636035308
"Betaine","Com_33_pos","Betaine","C5 H11 N O2",117.07919,1.364,118.08646,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids",3213340517,2324415489,2205115200,2537564549,3807375249,2965459246,31.510851798306,31.2446181445283,0.266233653777679,0.486217614490211,0.336332290558549,"stable",0.799286764824962
"Valine","Com_34_pos","Valine","C5 H11 N O2",117.07911,1.811,118.08639,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Valine and derivatives",2585228824,2528380491,2594941044,2667162802,2608318966,2616897542,31.292780731924,31.258755297934,0.0340254339900419,0.089615458046016,0.208927368047213,"stable",1.2237509277378
"Propionylcarnitine","Com_51_pos","Propionylcarnitine","C10 H19 N O4",217.13177,3.625,218.13904,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Acyl carnitines",1046735509,1045632500,950139500.699999,1128044186,1194050868,1082101810,30.0785275607951,29.9161808827552,0.16234667803996,0.0270038666244189,0.172374872169006,"stable",1.31254329718538
"N-Benzylformamide","Com_55_pos","N-Benzylformamide","C8 H9 N O",135.06867,2.666,136.07596,"Full match","Full match","No results","Benzenoids","Benzene and substituted derivatives","Not available","Benzene and substituted derivatives",1391577158,1480526461,1475265370,1581640765,1520270193,1582670118,30.5400562850204,30.4319547432767,0.108101541743643,0.125614442358072,0.214550715675287,"stable",1.38886679502473
"L-Threonine","Com_103_pos","L-Threonine","C4 H9 N O3",119.05852,1.338,120.06578,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","L-alpha-amino acids",499415015.2,388163523.6,447299018.2,400448182.3,344928921.5,284506213.2,28.3408830360348,28.7214725394118,-0.380589503377006,0.116472780905975,0.213428322493592,"stable",1.20799421043963
